"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAC677_009";"0.5";"";
"REFERENCE";"1789317";"";
"ATT_0173_1_02_BAF016_008";"10.12";"";
"TraceParts.PartVersion";"1.1.10";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAB392_019";"CSA, cULus Recognized";"";
"ATT_0173_1_02_BAA020_012";"16";"";
"ATT_0173_1_02_BAC739_009";"0.14";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"TraceParts.PartNumber";"10-23122020-042398";"";
"ATT_0173_1_02_AAO663_005";"4017918233976";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-23122020-0423989H4JAMK1ZQI7IBYPA7XXK7RH0";"";
"ATT_0173_1_02_BAB577_010";"13.6";"";
"ATT_0173_1_02_BAC740_009";"0.14";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"FFKDSA1/H-2,54- 3";"";
"ATT_0173_1_02_AAP798_003";"IEC 60999-1 (in parts)";"";
"ATT_0173_1_02_BAC487_017";"PA";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC676_009";"0.5";"";
